num_if,num_else,num_switch,num_loop,num_break,num_Priority,num_binSearch,num_minMax,num_sort,num_hash_map,num_hash_set,num_recursive,num_nested_loop,num_vari,num_method,num_state,complexity_class,efficiency,filename
2,1,0,0,0,0,0,1,0,0,0,3,0,4,3,6,exponential,inefficient,0-1-knapsack-problem-dp-10-1.java
3,1,0,2,0,0,0,1,0,0,0,3,2,7,4,11,quadratic,inefficient,0-1-knapsack-problem-dp-10-2.java
2,1,0,2,0,0,0,1,0,0,0,0,2,6,3,8,quadratic,inefficient,0-1-knapsack-problem-dp-10-3.java
1,0,0,2,0,0,0,1,0,0,0,0,2,7,2,6,quadratic,inefficient,0-1-knapsack-problem-dp-10-4.java
4,0,0,8,0,1,0,0,0,0,0,1,2,17,8,27,exponential,inefficient,8-puzzle-problem-using-branch-and-bound-1.java
6,0,0,10,0,0,0,0,0,0,0,0,6,10,2,32,polynomial,inefficient,a-boolean-matrix-question-1.java
2,0,0,8,0,0,0,0,0,0,0,0,2,5,3,14,quadratic,inefficient,a-boolean-matrix-question-2.java
6,0,0,8,0,0,0,0,0,0,0,0,2,11,3,18,quadratic,inefficient,a-boolean-matrix-question-3.java
7,1,0,0,0,0,0,4,0,0,0,2,0,8,5,25,quadratic,inefficient,a-program-to-check-if-a-binary-tree-is-bst-or-not-1.java
3,1,0,0,0,0,0,0,0,0,0,2,0,1,3,7,linear,efficient,a-program-to-check-if-a-binary-tree-is-bst-or-not-2.java
4,1,0,0,0,0,0,0,0,0,0,2,0,1,3,10,linear,efficient,a-program-to-check-if-a-binary-tree-is-bst-or-not-3.java
5,3,0,2,0,0,0,0,0,0,0,0,2,4,2,15,linear,efficient,a-program-to-check-if-a-binary-tree-is-bst-or-not-4.java
1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,4,linear,efficient,activity-selection-problem-greedy-algo-1.java
1,0,0,1,0,0,0,0,1,0,0,0,0,5,4,5,linearithmic,efficient,activity-selection-problem-greedy-algo-2.java
1,0,0,3,0,1,0,0,0,0,0,0,0,10,2,8,linearithmic,efficient,activity-selection-problem-greedy-algo-3.java
6,0,0,11,0,0,0,0,0,0,0,0,2,21,4,30,linear,efficient,aho-corasick-algorithm-pattern-searching-1.java
0,0,0,4,0,0,0,0,0,0,0,0,0,9,3,8,linear,efficient,array-rotation-1.java
0,0,0,3,0,0,0,0,0,0,0,0,2,7,2,6,quadratic,inefficient,array-rotation-2.java
3,1,0,3,1,0,0,0,0,0,0,1,2,5,4,11,linear,efficient,array_rotation-3.java
0,0,0,2,0,0,0,0,0,0,0,0,0,6,1,4,quadratic,inefficient,array-rotation-4.java
0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,4,linear,efficient,average-of-a-stream-of-numbers-1.java
21,4,0,1,0,0,0,6,0,0,0,2,0,11,11,57,linear,efficient,avl-with-duplicate-keys-1.java
8,1,0,2,0,0,0,0,0,0,0,1,0,7,13,31,linearithmic,efficient,binary-heap-1.java
0,0,0,4,0,0,0,0,0,0,0,0,0,6,4,7,linearithmic,efficient,binary-indexed-tree-or-fenwick-tree-2-1.java
0,0,0,3,0,0,0,0,0,0,0,0,0,7,7,9,linearithmic,efficient,binary-indexed-tree-range-update-range-queries-1.java
1,0,0,1,0,0,0,0,0,0,0,0,0,6,3,3,quadratic,inefficient,binary-indexed-tree-range-updates-point-queries-1.java
0,0,0,4,0,0,0,0,0,0,0,0,0,7,5,7,linearithmic,efficient,binary-indexed-tree-range-updates-point-queries-2.java
7,2,0,0,0,0,0,0,0,0,0,2,0,2,3,13,linear,efficient,binary-search-tree-set-1-search-and-insertion-1.java
5,0,0,0,0,0,0,0,1,0,0,2,0,4,7,12,linearithmic,efficient,binary-tree-to-binary-search-tree-conversion-1.java
3,0,0,0,0,0,0,0,1,0,0,2,0,5,5,11,linearithmic,efficient,binary-tree-to-binary-search-tree-conversion-2.java
4,0,0,3,0,0,0,0,0,0,0,0,0,7,2,13,linear,efficient,bipartite-graph-1.java
6,0,0,4,0,0,0,0,0,0,0,0,0,7,3,18,linear,efficient,bipartite-graph-2.java
4,0,0,4,0,0,0,0,0,0,0,0,3,11,2,16,linear,efficient,bipartite-graph-3.java
6,0,0,2,0,0,0,0,0,0,0,1,0,6,3,15,linear,efficient,bipartite-graph-4.java
3,1,0,2,0,0,0,0,0,0,0,2,0,3,5,11,linear,efficient,block-swap-algorithm-for-array-rotation-1.java
3,1,0,3,0,0,0,0,0,0,0,0,0,4,4,11,linear,efficient,block-swap-algorithm-for-array-rotation-2.java
3,0,0,5,0,0,0,0,0,0,0,1,2,8,4,10,polynomial,inefficient,boggle-find-possible-words-board-characters-1.java
4,0,0,4,0,0,0,0,0,0,2,8,3,20,3,20,polynomial,inefficient,boggle-find-possible-words-board-characters-2.java
1,0,0,3,0,0,0,0,0,0,0,0,0,6,3,7,linear,efficient,breadth-first-search-or-bfs-for-a-graph-1.java
5,1,0,3,0,1,0,0,0,0,0,2,2,11,6,17,linear,efficient,cartesian-tree-sorting-1.java
4,1,0,3,0,0,0,0,0,0,0,2,2,10,5,16,quadratic,inefficient,cartesian-tree-1.java
6,1,1,1,3,0,0,0,0,0,0,0,0,5,2,19,linear,efficient,check-for-balanced-parentheses-in-an-expression-1.java
3,3,0,1,0,0,0,0,0,0,0,0,0,4,2,8,linear,efficient,check-for-balanced-parentheses-in-an-expression-2.java
2,1,0,2,0,0,0,0,0,0,0,0,2,5,2,11,quadratic,inefficient,check-given-array-contains-duplicate-elements-within-k-distance-1.java
