num_if,num_else,num_switch,num_loop,num_break,num_Priority,num_binSearch,num_minMax,num_sort,num_hash_map,num_hash_set,num_recursive,num_nested_loop,num_vari,num_method,num_state,complexity_class,efficiency,filename
0,0,0,2,0,0,0,1,0,0,0,0,2,4,2,4,5,0,BinomialCoefficientDP9GeeksforGeeks-3.java
1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,DetectiftwointegershaveoppositesignsGeeksforGeeks-1.java
1,0,0,1,0,0,0,0,0,0,0,1,0,3,3,5,3,1,Counttotalsetbitsinallnumbersfrom1tonGeeksforGeeks-5.java
2,0,0,2,0,0,0,0,0,0,0,2,0,8,5,8,5,0,QuickSortGeeksforGeeks-1.java
3,0,0,0,0,0,0,1,0,0,0,3,0,2,2,7,6,0,ShortestCommonSupersequenceGeeksforGeeks-2.java
0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,2,2,1,SmallestofthreeintegerswithoutcomparisonoperatorsGeeksforGeeks-2.java
1,0,0,2,0,0,0,1,0,0,0,0,2,7,2,6,5,0,01KnapsackProblemDP10GeeksforGeeks-5.java
7,0,0,4,0,0,0,0,0,0,0,1,0,8,4,19,2,1,DetectcycleinanundirectedgraphGeeksforGeeks-1.java
6,0,0,9,0,0,0,0,0,0,0,1,2,14,6,26,2,1,EulerCircuitinaDirectedGraphGeeksforGeeks-1.java
6,0,0,2,0,0,0,0,0,0,0,1,0,11,9,18,2,1,KthSmallestLargestElementinUnsortedArraySet1GeeksforGeeks-4.java
3,0,0,1,0,0,0,0,2,0,0,0,0,5,2,8,4,1,MinimumNumberofPlatformsRequiredforaRailwayBusStationGeeksforGeeks-3.java
1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,5,2,1,ProgramforFibonaccinumbersGeeksforGeeks-3.java
4,1,0,2,1,0,0,0,0,0,0,1,0,7,3,15,2,1,CountPossibleDecodingsofagivenDigitSequenceGeeksforGeeks-3.java
3,0,0,0,0,0,0,1,0,0,0,6,0,4,4,7,2,1,LargestIndependentSetProblemDP26GeeksforGeeks-1.java
1,0,0,2,0,0,0,0,0,0,0,1,0,6,3,6,5,0,PrintallpossiblecombinationsofrelementsinagivenarrayofsizenGeeksforGeeks-1.java
1,0,0,6,0,0,0,0,1,0,0,0,2,11,2,14,2,1,BucketSortGeeksforGeeks-1.java
4,1,0,3,0,0,0,0,0,0,0,2,0,6,5,22,4,1,MergeSortforDoublyLinkedListGeeksforGeeks-1.java
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,PositionofrightmostsetbitGeeksforGeeks-1.java
2,0,0,4,0,0,0,0,0,0,0,0,2,7,3,12,5,0,PatternSearchingSet6EfficientConstructionofFiniteAutomataGeeksforGeeks-1.java
2,0,0,1,0,0,0,0,0,0,0,2,0,5,3,6,5,0,PrintallpossiblecombinationsofrelementsinagivenarrayofsizenGeeksforGeeks-2.java
0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,3,1,Add1toagivennumberGeeksforGeeks-1.java
1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,3,1,CountsetbitsinanintegerGeeksforGeeks-7.java
2,1,0,6,0,0,0,0,1,0,0,2,0,13,4,14,4,1,MergeSortGeeksforGeeks-1.java
1,0,0,1,0,0,0,0,0,0,0,0,0,8,4,4,2,1,ProgramforFibonaccinumbersGeeksforGeeks-4.java
4,0,0,0,0,0,0,0,0,0,0,1,0,2,2,7,3,1,Programtofindwhetheragivennumberispowerof2GeeksforGeeks-3.java
4,0,0,1,0,0,0,0,0,0,0,2,0,9,5,14,2,1,KthSmallestLargestElementinUnsortedArraySet2ExpectedLinearTimeGeeksforGeeks-1.java
2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,7,0,1,PositionofrightmostsetbitGeeksforGeeks-5.java
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,Add1toagivennumberGeeksforGeeks-2.java
2,0,0,2,0,0,0,0,0,0,0,1,0,4,5,12,5,0,Counttotalsetbitsinallnumbersfrom1tonGeeksforGeeks-3.java
4,0,0,5,0,0,0,2,0,0,0,1,0,15,4,16,2,1,TarjansAlgorithmtofindStronglyConnectedComponentsGeeksforGeeks-1.java
2,0,0,3,1,0,0,0,0,0,0,0,2,5,3,9,5,0,BubbleSortGeeksforGeeks-2.java
5,0,0,7,0,0,0,0,0,0,0,0,6,11,2,17,5,0,CycleSortGeeksforGeeks-1.java
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,Efficientwaytomultiplywith7GeeksforGeeks-1.java
1,0,0,2,0,0,0,0,0,0,0,1,0,7,4,7,2,1,LexicographicrankofastringGeeksforGeeks-1.java
3,0,0,5,1,0,0,0,0,0,0,0,2,8,3,13,3,1,VertexCoverProblemSet1IntroductionandApproximateAlgorithmGeeksforGeeks-1.java
3,1,0,0,0,0,0,1,0,0,0,3,0,3,2,7,6,0,ShortestCommonSupersequenceGeeksforGeeks-4.java
1,0,0,5,0,0,0,0,1,0,0,0,0,12,2,13,2,1,SuffixArraySet1IntroductionGeeksforGeeks-1.java
1,0,0,6,0,0,0,8,1,0,0,0,2,15,3,14,2,1,BoxStackingProblemDP22GeeksforGeeks-1.java
